timestamp,idFrame,downlink_delay(s),deviceSimbolicAppAddress_,speed,roadID,AppName,ueAppPort,nbRcvMsg, from,nb_neighbor
1.2405,1,0.0024968296,car[1],traciVehicle->getSpeed(),-4006683,test,4009,0,pong,0
1.2405,1,0.0024951224,car[2],traciVehicle->getSpeed(),4006683,test,4009,255,pong,0
1.2405,1,0.0024934152,car[5],traciVehicle->getSpeed(),-29900565#0,test,4009,1251184414,pong,0
1.241,1,0.0024968296,car[3],traciVehicle->getSpeed(),-4006740,test,4009,-877313104,pong,0
1.241,1,0.002493888,car[7],traciVehicle->getSpeed(),25472299,test,4009,0,pong,0
1.2415,1,0.0024987968,car[4],traciVehicle->getSpeed(),4900739#1,test,4009,0,pong,0
1.2415,1,0.0024951224,car[12],traciVehicle->getSpeed(),4047378,test,4009,0,pong,0
1.242,1,0.0024968296,car[6],traciVehicle->getSpeed(),4006702#2,test,4009,-1431195215,pong,0
1.242,1,0.0024963856,car[11],traciVehicle->getSpeed(),37591481,test,4009,0,pong,0
1.2425,1,0.0024968296,car[9],traciVehicle->getSpeed(),4006691,test,4009,0,pong,0
1.243,1,0.0024968296,car[13],traciVehicle->getSpeed(),10425130,test,4009,0,pong,0
1.243,1,0.0024951224,car[18],traciVehicle->getSpeed(),4006684,test,4009,0,pong,0
1.2435,1,0.0024968296,car[16],traciVehicle->getSpeed(),30405358#1,test,4009,0,pong,0
1.2445,1,0.0024987968,car[14],traciVehicle->getSpeed(),-3998615#0,test,4009,0,pong,0
1.245,1,0.0024968296,car[10],traciVehicle->getSpeed(),4006705#1,test,4009,0,pong,0
1.246,1,0.0024968296,car[15],traciVehicle->getSpeed(),-113939241,test,4009,0,pong,0
1.2465,1,0.0024968296,car[17],traciVehicle->getSpeed(),-3998615#1,test,4009,-850987392,pong,0
1.2475,1,0.0024987968,car[0],traciVehicle->getSpeed(),30405358#0,test,4009,-876898240,pong,0
1.2485,1,0.0024968296,car[8],traciVehicle->getSpeed(),-5445204#2,test,4009,0,pong,0
1.2505,2,0.0024968296,car[1],traciVehicle->getSpeed(),-4006683,test,4009,1,pong,0
1.2505,2,0.0024951224,car[2],traciVehicle->getSpeed(),4006683,test,4009,256,pong,0
