timestamp,ueAppPort,destination,packet_size_to_send(B),payload_size_to_send(B), idFrame, distance, neig
1.2490010168,4009,car[17],1,1,0,996.52,10
1.2490010168,4009,car[18],1,1,0,872.425,10
1.2490046912,4009,car[3],1,1,0,735.965,5
1.2490046912,4009,car[6],1,1,0,822.475,5
1.2490046912,4009,car[7],1,1,0,886.621,5
1.2490046912,4009,car[14],1,1,0,438.649,5
1.2490046912,4009,car[17],1,1,0,484.823,5
1.249502984,4009,car[7],1,1,0,969.321,5
1.249502984,4009,car[10],1,1,0,544.868,5
1.249502984,4009,car[12],1,1,0,822.475,5
1.249502984,4009,car[14],1,1,0,434.633,5
1.249502984,4009,car[17],1,1,0,486.695,5
1.249503428,4009,car[1],1,1,0,490.205,8
1.249503428,4009,car[2],1,1,0,740.784,8
1.249503428,4009,car[5],1,1,0,954.124,8
1.249503428,4009,car[8],1,1,0,963.001,8
1.249503428,4009,car[9],1,1,0,941.285,8
1.249503428,4009,car[13],1,1,0,503.707,8
1.249503428,4009,car[15],1,1,0,214.457,8
1.249503428,4009,car[18],1,1,0,519.443,8
1.2500042184,4009,car[1],1,1,0,590.926,10
1.2500042184,4009,car[2],1,1,0,580.659,10
1.2500042184,4009,car[4],1,1,0,346.144,10
1.2500042184,4009,car[5],1,1,0,13.0384,10
1.2500042184,4009,car[7],1,1,0,454.582,10
1.2500042184,4009,car[8],1,1,0,692.78,10
1.2500042184,4009,car[11],1,1,0,941.285,10
1.2500042184,4009,car[13],1,1,0,439.21,10
1.2500042184,4009,car[16],1,1,0,790.234,10
1.2500042184,4009,car[18],1,1,0,529.295,10
1.250502984,4009,car[1],1,1,0,305.634,11
1.250502984,4009,car[2],1,1,0,491.205,11
1.250502984,4009,car[4],1,1,0,773.846,11
1.250502984,4009,car[5],1,1,0,451.886,11
1.250502984,4009,car[7],1,1,0,751.23,11
1.250502984,4009,car[8],1,1,0,657.66,11
1.250502984,4009,car[9],1,1,0,439.21,11
1.250502984,4009,car[11],1,1,0,503.707,11
1.250502984,4009,car[15],1,1,0,652.519,11
1.250502984,4009,car[16],1,1,0,973.58,11
1.250502984,4009,car[18],1,1,0,261.599,11
1.2505046912,4009,car[1],1,1,0,61.9839,11
1.2505046912,4009,car[2],1,1,0,254.7,11
1.2505046912,4009,car[3],1,1,0,875.663,11
1.2505046912,4009,car[4],1,1,0,872.425,11
1.2505046912,4009,car[5],1,1,0,541.853,11
1.2505046912,4009,car[7],1,1,0,666.123,11
1.2505046912,4009,car[8],1,1,0,916.474,11
1.2505046912,4009,car[9],1,1,0,529.295,11
1.2505046912,4009,car[11],1,1,0,519.443,11
1.2505046912,4009,car[13],1,1,0,261.599,11
1.2505046912,4009,car[15],1,1,0,719.851,11
1.251002984,4009,car[1],1,1,0,696.897,6
1.251002984,4009,car[2],1,1,0,950.926,6
1.251002984,4009,car[8],1,1,0,972.61,6
1.251002984,4009,car[11],1,1,0,214.457,6
1.251002984,4009,car[13],1,1,0,652.519,6
1.251002984,4009,car[18],1,1,0,719.851,6
1.2515010168,4009,car[1],1,1,0,963.26,9
1.2515010168,4009,car[4],1,1,0,793.009,9
1.2515010168,4009,car[5],1,1,0,695.058,9
1.2515010168,4009,car[9],1,1,0,692.78,9
1.2515010168,4009,car[11],1,1,0,963.001,9
1.2515010168,4009,car[13],1,1,0,657.66,9
1.2515010168,4009,car[15],1,1,0,972.61,9
1.2515010168,4009,car[16],1,1,0,444.649,9
1.2515010168,4009,car[18],1,1,0,916.474,9
1.252002984,4009,car[6],1,1,0,434.633,5
1.252002984,4009,car[7],1,1,0,687.554,5
1.252002984,4009,car[10],1,1,0,970.58,5
1.252002984,4009,car[12],1,1,0,438.649,5
1.252002984,4009,car[17],1,1,0,111.83,5
1.252502984,4009,car[6],1,1,0,544.868,2
1.252502984,4009,car[14],1,1,0,970.58,2
1.253502984,4009,car[2],1,1,0,967.525,7
1.253502984,4009,car[3],1,1,0,974.804,7
1.253502984,4009,car[4],1,1,0,996.52,7
1.253502984,4009,car[6],1,1,0,486.695,7
1.253502984,4009,car[7],1,1,0,576.534,7
1.253502984,4009,car[12],1,1,0,484.823,7
1.253502984,4009,car[14],1,1,0,111.83,7
1.2540042184,4009,car[0],1,1,0,998.585,6
1.2540042184,4009,car[4],1,1,0,682.397,6
1.2540042184,4009,car[5],1,1,0,784.903,6
1.2540042184,4009,car[8],1,1,0,444.649,6
1.2540042184,4009,car[9],1,1,0,790.234,6
1.2540042184,4009,car[13],1,1,0,973.58,6
1.2545010168,4009,car[16],1,1,0,998.585,1
1.258002984,4009,car[2],1,1,0,257.049,11
1.258002984,4009,car[3],1,1,0,846.414,11
1.258002984,4009,car[4],1,1,0,933.474,11
1.258002984,4009,car[5],1,1,0,603.441,11
1.258002984,4009,car[7],1,1,0,708.114,11
1.258002984,4009,car[8],1,1,0,963.26,11
1.258002984,4009,car[9],1,1,0,590.926,11
1.258002984,4009,car[11],1,1,0,490.205,11
1.258002984,4009,car[13],1,1,0,305.634,11
1.258002984,4009,car[15],1,1,0,696.897,11
1.258002984,4009,car[18],1,1,0,61.9839,11
1.2580046912,4009,car[1],1,1,0,257.049,11
1.2580046912,4009,car[3],1,1,0,654.164,11
1.2580046912,4009,car[4],1,1,0,885.036,11
1.2580046912,4009,car[5],1,1,0,590.445,11
1.2580046912,4009,car[7],1,1,0,520.384,11
1.2580046912,4009,car[9],1,1,0,580.659,11
1.2580046912,4009,car[11],1,1,0,740.784,11
1.2580046912,4009,car[13],1,1,0,491.205,11
1.2580046912,4009,car[15],1,1,0,950.926,11
1.2580046912,4009,car[17],1,1,0,967.525,11
1.2580046912,4009,car[18],1,1,0,254.7,11
1.2580063984,4009,car[1],1,1,0,603.441,10
1.2580063984,4009,car[2],1,1,0,590.445,10
1.2580063984,4009,car[4],1,1,0,333.182,10
1.2580063984,4009,car[7],1,1,0,452.355,10
1.2580063984,4009,car[8],1,1,0,695.058,10
1.2580063984,4009,car[9],1,1,0,13.0384,10
1.2580063984,4009,car[11],1,1,0,954.124,10
1.2580063984,4009,car[13],1,1,0,451.886,10
1.2580063984,4009,car[16],1,1,0,784.903,10
1.2580063984,4009,car[18],1,1,0,541.853,10
1.258502984,4009,car[1],1,1,0,846.414,6
1.258502984,4009,car[2],1,1,0,654.164,6
1.258502984,4009,car[7],1,1,0,907.983,6
1.258502984,4009,car[12],1,1,0,735.965,6
1.258502984,4009,car[17],1,1,0,974.804,6
1.258502984,4009,car[18],1,1,0,875.663,6
1.2585059256,4009,car[1],1,1,0,708.114,12
1.2585059256,4009,car[2],1,1,0,520.384,12
1.2585059256,4009,car[3],1,1,0,907.983,12
1.2585059256,4009,car[4],1,1,0,548.876,12
1.2585059256,4009,car[5],1,1,0,452.355,12
1.2585059256,4009,car[6],1,1,0,969.321,12
1.2585059256,4009,car[9],1,1,0,454.582,12
1.2585059256,4009,car[12],1,1,0,886.621,12
1.2585059256,4009,car[13],1,1,0,751.23,12
1.2585059256,4009,car[14],1,1,0,687.554,12
1.2585059256,4009,car[17],1,1,0,576.534,12
1.2585059256,4009,car[18],1,1,0,666.123,12
1.2590010168,4009,car[1],1,1,0,933.474,10
1.2590010168,4009,car[2],1,1,0,885.036,10
1.2590010168,4009,car[5],1,1,0,333.182,10
1.2590010168,4009,car[7],1,1,0,548.876,10
1.2590010168,4009,car[8],1,1,0,793.009,10
1.2590010168,4009,car[9],1,1,0,346.144,10
1.2590010168,4009,car[13],1,1,0,773.846,10
1.2590010168,4009,car[16],1,1,0,682.397,10
1.2590010168,4009,car[17],1,1,0,996.52,10
1.2590010168,4009,car[18],1,1,0,872.425,10
1.2590046912,4009,car[3],1,1,0,735.965,5
1.2590046912,4009,car[6],1,1,0,822.475,5
1.2590046912,4009,car[7],1,1,0,886.621,5
1.2590046912,4009,car[14],1,1,0,438.649,5
1.2590046912,4009,car[17],1,1,0,484.823,5
1.259502984,4009,car[7],1,1,0,969.321,5
1.259502984,4009,car[10],1,1,0,544.868,5
1.259502984,4009,car[12],1,1,0,822.475,5
1.259502984,4009,car[14],1,1,0,434.633,5
1.259502984,4009,car[17],1,1,0,486.695,5
1.259503428,4009,car[1],1,1,0,490.205,8
1.259503428,4009,car[2],1,1,0,740.784,8
1.259503428,4009,car[5],1,1,0,954.124,8
1.259503428,4009,car[8],1,1,0,963.001,8
1.259503428,4009,car[9],1,1,0,941.285,8
1.259503428,4009,car[13],1,1,0,503.707,8
1.259503428,4009,car[15],1,1,0,214.457,8
1.259503428,4009,car[18],1,1,0,519.443,8
1.2600042184,4009,car[1],1,1,0,590.926,10
1.2600042184,4009,car[2],1,1,0,580.659,10
1.2600042184,4009,car[4],1,1,0,346.144,10
1.2600042184,4009,car[5],1,1,0,13.0384,10
1.2600042184,4009,car[7],1,1,0,454.582,10
1.2600042184,4009,car[8],1,1,0,692.78,10
1.2600042184,4009,car[11],1,1,0,941.285,10
1.2600042184,4009,car[13],1,1,0,439.21,10
1.2600042184,4009,car[16],1,1,0,790.234,10
1.2600042184,4009,car[18],1,1,0,529.295,10
1.260502984,4009,car[1],1,1,0,305.634,11
1.260502984,4009,car[2],1,1,0,491.205,11
1.260502984,4009,car[4],1,1,0,773.846,11
1.260502984,4009,car[5],1,1,0,451.886,11
1.260502984,4009,car[7],1,1,0,751.23,11
1.260502984,4009,car[8],1,1,0,657.66,11
1.260502984,4009,car[9],1,1,0,439.21,11
1.260502984,4009,car[11],1,1,0,503.707,11
1.260502984,4009,car[15],1,1,0,652.519,11
1.260502984,4009,car[16],1,1,0,973.58,11
1.260502984,4009,car[18],1,1,0,261.599,11
1.2605046912,4009,car[1],1,1,0,61.9839,11
1.2605046912,4009,car[2],1,1,0,254.7,11
1.2605046912,4009,car[3],1,1,0,875.663,11
1.2605046912,4009,car[4],1,1,0,872.425,11
1.2605046912,4009,car[5],1,1,0,541.853,11
1.2605046912,4009,car[7],1,1,0,666.123,11
1.2605046912,4009,car[8],1,1,0,916.474,11
1.2605046912,4009,car[9],1,1,0,529.295,11
1.2605046912,4009,car[11],1,1,0,519.443,11
1.2605046912,4009,car[13],1,1,0,261.599,11
1.2605046912,4009,car[15],1,1,0,719.851,11
1.261002984,4009,car[1],1,1,0,696.897,6
1.261002984,4009,car[2],1,1,0,950.926,6
1.261002984,4009,car[8],1,1,0,972.61,6
1.261002984,4009,car[11],1,1,0,214.457,6
1.261002984,4009,car[13],1,1,0,652.519,6
1.261002984,4009,car[18],1,1,0,719.851,6
1.263502984,4009,car[2],1,1,0,967.525,7
1.263502984,4009,car[3],1,1,0,974.804,7
1.263502984,4009,car[4],1,1,0,996.52,7
1.263502984,4009,car[6],1,1,0,486.695,7
1.263502984,4009,car[7],1,1,0,576.534,7
1.263502984,4009,car[12],1,1,0,484.823,7
1.263502984,4009,car[14],1,1,0,111.83,7
1.2640042184,4009,car[0],1,1,0,998.585,6
1.2640042184,4009,car[4],1,1,0,682.397,6
1.2640042184,4009,car[5],1,1,0,784.903,6
1.2640042184,4009,car[8],1,1,0,444.649,6
1.2640042184,4009,car[9],1,1,0,790.234,6
1.2640042184,4009,car[13],1,1,0,973.58,6
1.2645010168,4009,car[16],1,1,0,998.585,1
1.265502984,4009,car[6],1,1,0,544.868,2
1.265502984,4009,car[14],1,1,0,970.58,2
1.2675010168,4009,car[1],1,1,0,963.26,9
1.2675010168,4009,car[4],1,1,0,793.009,9
1.2675010168,4009,car[5],1,1,0,695.058,9
1.2675010168,4009,car[9],1,1,0,692.78,9
1.2675010168,4009,car[11],1,1,0,963.001,9
1.2675010168,4009,car[13],1,1,0,657.66,9
1.2675010168,4009,car[15],1,1,0,972.61,9
1.2675010168,4009,car[16],1,1,0,444.649,9
1.2675010168,4009,car[18],1,1,0,916.474,9
1.2675034568,4009,car[6],1,1,0,434.633,5
1.2675034568,4009,car[7],1,1,0,687.554,5
1.2675034568,4009,car[10],1,1,0,970.58,5
1.2675034568,4009,car[12],1,1,0,438.649,5
1.2675034568,4009,car[17],1,1,0,111.83,5
1.268002984,4009,car[2],1,1,0,257.049,11
1.268002984,4009,car[3],1,1,0,846.414,11
1.268002984,4009,car[4],1,1,0,933.474,11
1.268002984,4009,car[5],1,1,0,603.441,11
1.268002984,4009,car[7],1,1,0,708.114,11
1.268002984,4009,car[8],1,1,0,963.26,11
1.268002984,4009,car[9],1,1,0,590.926,11
1.268002984,4009,car[11],1,1,0,490.205,11
1.268002984,4009,car[13],1,1,0,305.634,11
1.268002984,4009,car[15],1,1,0,696.897,11
1.268002984,4009,car[18],1,1,0,61.9839,11
1.2680046912,4009,car[1],1,1,0,257.049,11
1.2680046912,4009,car[3],1,1,0,654.164,11
1.2680046912,4009,car[4],1,1,0,885.036,11
1.2680046912,4009,car[5],1,1,0,590.445,11
1.2680046912,4009,car[7],1,1,0,520.384,11
1.2680046912,4009,car[9],1,1,0,580.659,11
1.2680046912,4009,car[11],1,1,0,740.784,11
1.2680046912,4009,car[13],1,1,0,491.205,11
1.2680046912,4009,car[15],1,1,0,950.926,11
1.2680046912,4009,car[17],1,1,0,967.525,11
1.2680046912,4009,car[18],1,1,0,254.7,11
1.2680063984,4009,car[1],1,1,0,603.441,10
1.2680063984,4009,car[2],1,1,0,590.445,10
1.2680063984,4009,car[4],1,1,0,333.182,10
1.2680063984,4009,car[7],1,1,0,452.355,10
1.2680063984,4009,car[8],1,1,0,695.058,10
1.2680063984,4009,car[9],1,1,0,13.0384,10
1.2680063984,4009,car[11],1,1,0,954.124,10
1.2680063984,4009,car[13],1,1,0,451.886,10
1.2680063984,4009,car[16],1,1,0,784.903,10
1.2680063984,4009,car[18],1,1,0,541.853,10
1.268502984,4009,car[1],1,1,0,846.414,6
1.268502984,4009,car[2],1,1,0,654.164,6
1.268502984,4009,car[7],1,1,0,907.983,6
1.268502984,4009,car[12],1,1,0,735.965,6
1.268502984,4009,car[17],1,1,0,974.804,6
1.268502984,4009,car[18],1,1,0,875.663,6
1.2685059256,4009,car[1],1,1,0,708.114,12
1.2685059256,4009,car[2],1,1,0,520.384,12
1.2685059256,4009,car[3],1,1,0,907.983,12
1.2685059256,4009,car[4],1,1,0,548.876,12
1.2685059256,4009,car[5],1,1,0,452.355,12
1.2685059256,4009,car[6],1,1,0,969.321,12
1.2685059256,4009,car[9],1,1,0,454.582,12
1.2685059256,4009,car[12],1,1,0,886.621,12
1.2685059256,4009,car[13],1,1,0,751.23,12
1.2685059256,4009,car[14],1,1,0,687.554,12
1.2685059256,4009,car[17],1,1,0,576.534,12
1.2685059256,4009,car[18],1,1,0,666.123,12
1.2690010168,4009,car[1],1,1,0,933.474,10
1.2690010168,4009,car[2],1,1,0,885.036,10
1.2690010168,4009,car[5],1,1,0,333.182,10
1.2690010168,4009,car[7],1,1,0,548.876,10
1.2690010168,4009,car[8],1,1,0,793.009,10
1.2690010168,4009,car[9],1,1,0,346.144,10
1.2690010168,4009,car[13],1,1,0,773.846,10
1.2690010168,4009,car[16],1,1,0,682.397,10
1.2690010168,4009,car[17],1,1,0,996.52,10
1.2690010168,4009,car[18],1,1,0,872.425,10
1.269502984,4009,car[7],1,1,0,969.321,5
1.269502984,4009,car[10],1,1,0,544.868,5
1.269502984,4009,car[12],1,1,0,822.475,5
1.269502984,4009,car[14],1,1,0,434.633,5
1.269502984,4009,car[17],1,1,0,486.695,5
1.2700042184,4009,car[1],1,1,0,590.926,10
1.2700042184,4009,car[2],1,1,0,580.659,10
1.2700042184,4009,car[4],1,1,0,346.144,10
1.2700042184,4009,car[5],1,1,0,13.0384,10
1.2700042184,4009,car[7],1,1,0,454.582,10
1.2700042184,4009,car[8],1,1,0,692.78,10
1.2700042184,4009,car[11],1,1,0,941.285,10
1.2700042184,4009,car[13],1,1,0,439.21,10
1.2700042184,4009,car[16],1,1,0,790.234,10
1.2700042184,4009,car[18],1,1,0,529.295,10
1.270502984,4009,car[1],1,1,0,305.634,11
1.270502984,4009,car[2],1,1,0,491.205,11
1.270502984,4009,car[4],1,1,0,773.846,11
1.270502984,4009,car[5],1,1,0,451.886,11
1.270502984,4009,car[7],1,1,0,751.23,11
1.270502984,4009,car[8],1,1,0,657.66,11
1.270502984,4009,car[9],1,1,0,439.21,11
1.270502984,4009,car[11],1,1,0,503.707,11
1.270502984,4009,car[15],1,1,0,652.519,11
1.270502984,4009,car[16],1,1,0,973.58,11
1.270502984,4009,car[18],1,1,0,261.599,11
1.2705046912,4009,car[1],1,1,0,61.9839,11
1.2705046912,4009,car[2],1,1,0,254.7,11
1.2705046912,4009,car[3],1,1,0,875.663,11
1.2705046912,4009,car[4],1,1,0,872.425,11
1.2705046912,4009,car[5],1,1,0,541.853,11
1.2705046912,4009,car[7],1,1,0,666.123,11
1.2705046912,4009,car[8],1,1,0,916.474,11
1.2705046912,4009,car[9],1,1,0,529.295,11
1.2705046912,4009,car[11],1,1,0,519.443,11
1.2705046912,4009,car[13],1,1,0,261.599,11
1.2705046912,4009,car[15],1,1,0,719.851,11
1.271002984,4009,car[1],1,1,0,696.897,6
1.271002984,4009,car[2],1,1,0,950.926,6
1.271002984,4009,car[8],1,1,0,972.61,6
1.271002984,4009,car[11],1,1,0,214.457,6
1.271002984,4009,car[13],1,1,0,652.519,6
1.271002984,4009,car[18],1,1,0,719.851,6
1.2715010168,4009,car[1],1,1,0,963.26,9
